date,open,high,low,close,volume,vwap,transactions
2024-09-27,37.42,38.02,37.04,37.36,694682.0,37.8147,11781
2024-09-30,38.27,40.275,37.68,39.89,1116813.0,39.7294,17189
2024-10-01,40.08,40.2,38.7,38.95,1063971.0,39.1633,16737
2024-10-02,38.52,39.54,38.355,39.2,517614.0,39.2127,9670
2024-10-03,39.0,39.074,37.56,37.61,636496.0,37.944,12202
2024-10-04,38.44,39.3,37.9,39.16,476172.0,38.8548,8260
2024-10-07,38.98,39.17,38.1,38.43,722660.0,38.6639,9837
2024-10-08,38.4,39.02,38.065,38.54,441787.0,38.6463,10932
2024-10-09,38.76,40.36,38.575,40.27,603205.0,40.0528,11770
2024-10-10,39.5,40.61,39.35,40.51,451877.0,40.3607,11260
2024-10-11,40.48,41.13,40.2,40.71,291764.0,40.702,7496
2024-10-14,40.86,41.095,40.13,40.56,348100.0,40.5402,9095
2024-10-15,40.25,40.97,40.01,40.28,575088.0,40.4787,12081
2024-10-16,41.59,41.62,40.07,40.16,753536.0,40.5467,13503
2024-10-17,40.29,40.33,39.67,40.19,285871.0,40.09,8204
2024-10-18,40.48,40.59,39.69,39.8,502305.0,39.9035,8972
2024-10-21,39.79,40.12,38.805,38.99,400445.0,39.1369,7103
2024-10-22,38.93,39.11,38.535,38.67,297579.0,38.7739,6846
2024-10-23,38.28,38.5,37.76,38.26,461465.0,38.14,9640
2024-10-24,38.53,38.94,38.235,38.67,324627.0,38.5791,7266
2024-10-25,39.07,39.67,38.495,38.91,359297.0,39.0113,8023
2024-10-28,39.36,42.52,38.855,40.55,2860959.0,40.853,29438
2024-10-29,40.49,41.9,40.49,41.6,1122468.0,41.4092,17538
2024-10-30,41.44,42.27,41.26,41.3,625395.0,41.7095,10132
2024-10-31,41.7,41.8,40.17,40.42,866200.0,40.5745,12823
2024-11-01,40.75,40.77,39.91,39.95,621344.0,40.1851,9963
2024-11-04,39.86,40.17,39.28,39.85,488981.0,39.7499,10727
2024-11-05,39.86,40.46,39.12,40.1,1017137.0,39.7411,13920
2024-11-06,42.16,43.0,41.01,41.6,1277477.0,41.7401,23058
2024-11-07,40.95,42.88,39.61,41.28,1151797.0,41.4885,20881
2024-11-08,40.84,41.425,39.8,40.54,1005365.0,40.6857,15919
2024-11-11,41.1,41.79,40.66,41.39,624043.0,41.3338,15992
2024-11-12,41.17,41.84,40.95,41.76,588266.0,41.5914,11941
2024-11-13,41.8,42.98,41.53,41.67,723814.0,42.0019,13462
2024-11-14,41.25,41.49,40.36,40.71,801681.0,40.7755,13517
2024-11-15,40.75,40.75,39.51,39.98,642994.0,39.8999,12642
2024-11-18,39.76,39.87,38.73,39.33,698990.0,39.272,13448
2024-11-19,38.57,39.28,38.33,39.02,910218.0,38.9608,16479
2024-11-20,39.06,41.18,38.89,41.06,697443.0,40.2948,13862
2024-11-21,41.31,42.88,41.31,42.44,1168541.0,42.2091,20405
2024-11-22,42.52,43.092031,42.26,42.86,861671.0,42.7487,15549
2024-11-25,43.4,44.4803,42.72,42.74,782652.0,43.078,13728
2024-11-26,42.69,43.37,42.4603,43.3,582954.0,43.1235,11293
2024-11-27,43.14,43.335,41.955,42.53,474561.0,42.5251,9903
2024-11-29,42.58,42.91,42.36,42.6,297425.0,42.618,5399
2024-12-02,42.55,42.98,42.21,42.55,770309.0,42.5875,14638
2024-12-03,42.29,42.77,42.17,42.56,631553.0,42.4604,11253
2024-12-04,42.82,44.47,42.69,43.94,1484435.0,43.8097,19557
2024-12-05,44.13,44.225,43.35,43.43,646516.0,43.5318,13789
2024-12-06,43.88,44.03,43.32,43.48,699390.0,43.6006,13512
2024-12-09,43.35,43.525,41.58,41.62,663430.0,42.1289,15148
2024-12-10,41.38,42.435,41.0,41.48,696153.0,41.7374,15725
2024-12-11,41.91,42.18,41.4,41.54,716822.0,41.6565,13549
2024-12-12,41.43,41.77,40.51,40.81,697223.0,40.9699,13319
2024-12-13,40.56,40.745,39.345,39.69,834233.0,39.7075,12442
2024-12-16,39.49,40.33,39.05,39.25,1152471.0,39.5382,16410
2024-12-17,39.16,39.26,38.535,39.04,899979.0,38.8614,15961
2024-12-18,40.16,42.0899,39.61,40.03,1862760.0,40.787,27411
2024-12-19,40.24,40.63,39.37,40.25,786672.0,40.1697,16680
2024-12-20,39.62,40.595,39.235,39.36,1436001.0,39.6613,14952
2024-12-23,39.35,39.6,38.45,39.53,614032.0,39.2456,12838
2024-12-24,39.54,39.84,39.1561,39.81,244884.0,39.6507,5058
2024-12-26,39.76,40.38,39.65,40.32,365557.0,40.1799,7132
2024-12-27,40.32,40.6,39.5525,40.19,540094.0,40.0383,10179
2024-12-30,40.09,41.305,39.7704,40.96,771270.0,40.8971,15031
